B Id,Thomas Id
hconres187-93,262
hconres187-93,263
hconres187-93,271
hconres187-93,272
hconres187-93,280
hconres187-93,283
hconres187-93,286
hconres187-93,288
hconres187-93,290
hconres187-93,292
hconres187-93,296
hconres187-93,298
hconres187-93,1239
hconres188-93,309
hconres188-93,315
hconres188-93,318
hconres188-93,319
hconres188-93,341
hconres188-93,360
hconres188-93,365
hconres188-93,370
hconres188-93,384
hconres188-93,386
hconres188-93,391
hconres188-93,401
hconres188-93,402
hconres188-93,403
hconres188-93,415
hconres188-93,420
hconres188-93,430
hconres188-93,435
hconres188-93,440
hconres188-93,442
hconres188-93,444
hconres188-93,445
hconres188-93,458
hconres188-93,1239
hconres189-93,459
hconres189-93,461
hconres189-93,469
hconres189-93,474
hconres189-93,477
hconres189-93,480
hconres189-93,482
hconres189-93,490
hconres189-93,493
hconres189-93,494
hconres189-93,499
hconres189-93,503
hconres189-93,513
hconres189-93,515
hconres189-93,522
hconres189-93,523
hconres189-93,528
hconres189-93,529
hconres189-93,530
hconres189-93,542
hconres189-93,551
hconres189-93,555
hconres189-93,556
hconres189-93,564
hconres189-93,1239
hconres190-93,568
hconres190-93,573
hconres190-93,574
hconres190-93,581
hconres190-93,600
hconres190-93,609
hconres190-93,611
hconres190-93,614
hconres190-93,621
hconres190-93,625
hconres190-93,629
hconres190-93,634
hconres190-93,643
hconres190-93,656
hconres190-93,662
hconres190-93,668
hconres190-93,680
hconres190-93,682
hconres190-93,695
hconres190-93,703
hconres190-93,704
hconres190-93,712
hconres190-93,762
hconres190-93,770
hconres190-93,1239
hconres191-93,723
hconres191-93,731
hconres191-93,747
hconres191-93,753
hconres191-93,790
hconres191-93,796
hconres191-93,804
hconres191-93,810
hconres191-93,815
hconres191-93,818
hconres191-93,819
hconres191-93,820
hconres191-93,825
hconres191-93,827
hconres191-93,834
hconres191-93,842
hconres191-93,843
hconres191-93,847
hconres191-93,856
hconres191-93,863
hconres191-93,866
hconres191-93,874
hconres191-93,884
hconres191-93,896
hconres191-93,1239
hconres192-93,913
hconres192-93,915
hconres192-93,917
hconres192-93,919
hconres192-93,920
hconres192-93,929
hconres192-93,931
hconres192-93,943
hconres192-93,944
hconres192-93,945
hconres192-93,953
hconres192-93,957
hconres192-93,961
hconres192-93,969
hconres192-93,972
hconres192-93,973
hconres192-93,974
hconres192-93,981
hconres192-93,982
hconres192-93,983
hconres192-93,987
hconres192-93,991
hconres192-93,992
hconres192-93,995
hconres192-93,1239
hconres193-93,1001
hconres193-93,1006
hconres193-93,1017
hconres193-93,1019
hconres193-93,1024
hconres193-93,1028
hconres193-93,1033
hconres193-93,1039
hconres193-93,1052
hconres193-93,1056
hconres193-93,1061
hconres193-93,1066
hconres193-93,1079
hconres193-93,1086
hconres193-93,1091
hconres193-93,1093
hconres193-93,1100
hconres193-93,1101
hconres193-93,1104
hconres193-93,1106
hconres193-93,1108
hconres193-93,1115
hconres193-93,1120
hconres193-93,1121
hconres193-93,1239
hconres194-93,1124
hconres194-93,1131
hconres194-93,1132
hconres194-93,1144
hconres194-93,1153
hconres194-93,1154
hconres194-93,1159
hconres194-93,1173
hconres194-93,1180
hconres194-93,1186
hconres194-93,1191
hconres194-93,1198
hconres194-93,1200
hconres194-93,1202
hconres194-93,1219
hconres194-93,1221
hconres194-93,1227
hconres194-93,1232
hconres194-93,1233
hconres194-93,1235
hconres194-93,1239
hconres194-93,1241
hconres194-93,1249
hconres194-93,1250
hconres194-93,1252
hconres195-93,1239
hconres195-93,1253
hconres195-93,1254
hconres195-93,1255
hconres195-93,1257
hconres195-93,1260
hconres195-93,1261
hconres195-93,1267
hconres196-93,17
hconres196-93,69
hconres196-93,73
hconres196-93,353
hconres196-93,370
hconres196-93,629
hconres196-93,724
hconres196-93,728
hconres196-93,843
hconres196-93,907
hconres196-93,957
hconres197-93,943
hconres198-93,240
hconres198-93,318
hconres198-93,974
hconres198-93,1253
hconres199-93,1016
hconres199-93,1239
hconres200-93,810
hconres201-93,973
hconres202-93,149
hconres203-93,318
hconres204-93,318
hconres205-93,656
hconres206-93,128
hconres207-93,473
